,Title,Published_date,Views,Likes,Comments,Month
104,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4698,182,39,Aug
105,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9393,308,53,Aug
106,The Plagiarism Problem in Data Science,2020-08-07,12881,624,150,Aug
107,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13929,591,88,Aug
108,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4658,183,56,Aug
109,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10187,546,90,Jul
110,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2265,115,34,Jul
111,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5349,249,112,Jul
112,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8035,246,201,Jul
113,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1825,98,27,Jul
114,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,25914,532,90,Jul
115,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,231547,5582,388,Jul
116,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,28309,1065,120,Jul
117,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3470,132,50,Jul
118,The Best Computer for Data Science Beginners,2020-07-10,32732,786,156,Jul
119,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5987,227,84,Jul
120,Critiquing MY OWN Data Science Resume,2020-07-06,11965,385,92,Jul
121,Where to Start Learning Data Science,2020-07-03,17781,750,131,Jul
122,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3867,195,37,Jul
123,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4400,174,54,Jun
124,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,14566,522,79,Jun
125,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2309,81,40,Jun
126,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2358,137,51,Jun
127,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4147,163,46,Jun
128,Why You're Struggling to Learn Data Science,2020-06-12,14894,999,159,Jun
129,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,9862,309,70,Jun
130,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,21028,643,151,Jun
131,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5599,154,53,Jun
132,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,56507,1871,263,May
133,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20806,487,81,May
134,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,49221,1745,175,May
135,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11015,174,55,May
136,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,93580,3487,185,May
137,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3082,146,115,May
138,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4260,149,74,May
139,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1351514,48019,1986,May
140,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5039,185,42,May
141,What You Need to Know for a Data Science Internship,2020-05-01,16597,974,59,May
142,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7913,341,57,Apr
143,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14791,459,103,Apr
144,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2949,84,24,Apr
145,5 Tips for Crushing the Work From Home Life,2020-04-20,5186,199,38,Apr
